Track Name,Artist,Artist URI,Artist Popularity,Artist Genres,Track Duration(ms),Release Date,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Type,Track ID,Uri,Track_href,Analysis_url,Duration_ms,Time_signature,Lyrics
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,pop,229477,2023-10-26,93,0.596,0.658,0,-7.346,1,0.036,0.0504,0,0.127,0.176,100.012,audio_features,1Iq8oo9XkmmvCQiGOfORiz,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,https://api.spotify.com/v1/tracks/1Iq8oo9XkmmvCQiGOfORiz,https://api.spotify.com/v1/audio-analysis/1Iq8oo9XkmmvCQiGOfORiz,229478,4,"Once the flight had flown (ah-ha)
With the wilt of the rose (ah-ha)
I slept all alone (ah-ha)
You still wouldn't go

Let's fast forward to 300 takeout coffees later
I see your profile and your smile on unsuspecting waiters
You dream of my mouth before it called you a lying traitor
You search in every maiden's bed for something greater
Baby, was it over when she laid down on your couch?
Was it over when he unbuttoned my blouse?
""Come here,"" I whispered in your ear in your dream as you passed out
Baby, was it over then
And is it over now?

When you lost control (ah-ha)
Red blood, white snow (ah-ha)
Blue dress on a boat (ah-ha)
"
Houdini,Dua Lipa,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,86,"dance pop, pop, uk pop",185917,2023-11-09,93,0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,audio_features,4OMJGnvZfDvsePyCwRGO7X,spotify:track:4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/tracks/4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/audio-analysis/4OMJGnvZfDvsePyCwRGO7X,185918,4,"Okay, huh, mm, ah

I come and I go
Tell me all the ways you need me
I'm not here for long
Catch me or I go Houdini
I come and I go
Prove you got the right to please me
Everybody knows
Catch me or I go Houdini

Time is passin' like a solar eclipse
See you watchin' and you blow me a kiss
It's your moment, baby, don't let it slip
Come in closer, are you readin' my lips?

They say I come and I go
Tell me all the ways you need me
I'm not here for long
Catch me or I go Houdini
I come and I go
"
bad idea right?,Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG,87,pop,184783,2023-08-11,57,0.628,0.878,9,-3.468,1,0.0901,0.00196,1.23e-05,0.0649,0.796,129.976,audio_features,2i8f4VnnBjy0yDqH2C452a,spotify:track:2i8f4VnnBjy0yDqH2C452a,https://api.spotify.com/v1/tracks/2i8f4VnnBjy0yDqH2C452a,https://api.spotify.com/v1/audio-analysis/2i8f4VnnBjy0yDqH2C452a,184784,4,"Hey

Haven't heard from you in a couple of months
But I'm out right now, and I'm all fucked up
And you're callin' my phone, you're all alone
And I'm sensin' some undertone

And I'm right here with all my friends
But you're sendin' me your new address
And I know we're done, I know we're through
But, God, when I look at you

My brain goes, ""Ah""
Can't hear my thoughts (I cannot hear my thoughts)
Like blah-blah-blah (blah, blah, blah, blah, blah, blah)
Should probably not
I should probably, probably not
I should probably, probably not

Seein' you tonight, it's a bad idea, right?
Seein' you tonight, it's a bad idea, right?
Seein' you tonight, it's a bad idea, right?
Seein' you tonight, fuck it, it's fine

Yes, I know that he's my ex, but can't two people reconnect?
"
"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,pop,180381,2023-10-26,89,0.629,0.413,7,-13.178,1,0.055,0.345,7.62e-05,0.0603,0.306,77.983,audio_features,71BqAINEnezjQfxE4VuJfq,spotify:track:71BqAINEnezjQfxE4VuJfq,https://api.spotify.com/v1/tracks/71BqAINEnezjQfxE4VuJfq,https://api.spotify.com/v1/audio-analysis/71BqAINEnezjQfxE4VuJfq,180381,4,"Flamingo pink, Sunrise Boulevard
Clink, clink, being this young is art
Aquamarine, moonlit swimming pool
What if all I need is you?

Got love-struck, went straight to my head
Got lovesick all over my bed
Love to think you'll never forget
Handprints in wet cement

Adorned with smoke on my clothes
Lovelorn and nobody knows
Love thorns all over this rose
I'll pay the price, you won't

But if I'm all dressed up
They might as well be lookin' at us
And if they call me a slut
"
Boy's a liar Pt. 2,PinkPantheress,spotify:artist:78rUTD7y6Cy67W1RVzYs7t,76,bedroom pop,131013,2023-02-03,85,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,audio_features,6AQbmUe0Qwf5PZnt4HmTXv,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/tracks/6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/audio-analysis/6AQbmUe0Qwf5PZnt4HmTXv,131013,4,"Take a look inside your heart, is there any room for me?
I won't have to hold my breath 'til you get down on one knee
Because you only want to hold me when I'm looking good enough
Did you ever feel me? Would you ever picture us?
Every time I pull my hair, well, it's only out of fear
That you'll find me ugly and one day you'll disappear because

What's the point of crying? It was never even love
Did you ever want me? Was I ever good enough?

The-the boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy
The boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy

"
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,93,"canadian contemporary r&b, canadian pop, pop",191013,2021-04-23,83,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,audio_features,37BZB0z9T8Xu7U3e65qxFy,spotify:track:37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/tracks/37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/audio-analysis/37BZB0z9T8Xu7U3e65qxFy,191014,4,"Ooh (ooh)
Nah-nah, yeah

I saw you dancing in a crowded room (uh)
You look so happy when I'm not with you
But then you saw me, caught you by surprise
A single teardrop falling from your eye

I don't know why I run away (oh, oh, oh, oh, oh)
I'll make you cry when I run away (oh, oh, oh, oh, oh)

Take me back 'cause I wanna stay
Save your tears for another

"
august,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,pop,261922,2020-07-24,90,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,audio_features,3hUxzQpSfdDqwM3ZTFQY0K,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,https://api.spotify.com/v1/tracks/3hUxzQpSfdDqwM3ZTFQY0K,https://api.spotify.com/v1/audio-analysis/3hUxzQpSfdDqwM3ZTFQY0K,261923,4,"Salt air, and the rust on your door
I never needed anything more
Whispers of ""Are you sure?""
""Never have I ever before""

But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine

Your back beneath the sun
Wishin' I could write my name on it
Will you call when you're back at school?
I remember thinkin' I had you

But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
"
greedy,Tate McRae,spotify:artist:45dkTj5sMRSjrmBSBeiHym,85,"alt z, pop",131872,2023-09-15,99,0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1,"(Woo!)

He said, ""Are you serious? I've tried, but I can't figure out
I've been next to you all night and still don't know what you're about
You keep ta- (ta-ta-), talkin', but not much comin' out your mouth
Can't you tell that I want you?"" I say, yeah

I would want myself, baby, please believe me
I'll put you through hell just to know me, yeah-yeah
So sure of yourself, baby, don't get greedy
That shit won't end well (ooh-ooh), end well
(Uh-uh, uh-uh-uh, uh-uh) (woo)

"
positions,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,89,pop,172324,2020-10-23,1,0.736,0.802,0,-4.759,1,0.0864,0.468,0,0.094,0.675,144.005,audio_features,7igeByaBM0MgGsgXtNxDJ7,spotify:track:7igeByaBM0MgGsgXtNxDJ7,https://api.spotify.com/v1/tracks/7igeByaBM0MgGsgXtNxDJ7,https://api.spotify.com/v1/audio-analysis/7igeByaBM0MgGsgXtNxDJ7,172325,4,"Heaven sent you to me
I'm just hopin' I don't repeat history

Boy, I'm tryna meet your mama on a Sunday
Then make a lotta love on a Monday (ah-ah)
Never need no (no), no one else, babe
'Cause I'll be

Switchin' the positions for you
Cookin' in the kitchen, and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin' I wouldn't do
That I won't do, switchin' for you

Perfect, perfect
You're too good to be true (you're too good to be true)
But I get tired of runnin'
Now I'm runnin' with you (wit' you)

"
Out of Time,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,93,"canadian contemporary r&b, canadian pop, pop",214193,2022-01-06,80,0.65,0.76,0,-4.422,0,0.0446,0.255,0,0.339,0.838,93.057,audio_features,2SLwbpExuoBDZBpjfefCtV,spotify:track:2SLwbpExuoBDZBpjfefCtV,https://api.spotify.com/v1/tracks/2SLwbpExuoBDZBpjfefCtV,https://api.spotify.com/v1/audio-analysis/2SLwbpExuoBDZBpjfefCtV,214194,4,"Yeah, yeah

The last few months, I've been working on me, baby
There's so much trauma in my life
I've been so cold to the ones who loved me, baby
I look back now and I realize

I remember when I held you
You begged me with your drowning eyes to stay
And I regret I didn't tell you
Now I can't keep you from loving him, you made up your mind

Say I love you, girl, but I'm out of time
Say I'm there for you, but I'm out of time
Say that I'll care for you, but I'm out of time
"
